start	end	text
0	1040	WHAT DOES YOU NEED?
1040	2000	NOT Thank you.
2000	3940	ONLY王晓中国
3940	11440	You are welcome.
11440	14620	Go ahead, pay to earn more,
14620	19760	or just go to Heaven.
19760	25960	You are welcome.
25960	43040	As we've just been reciting in this refuge and bodhicitta verse, we say, may I become
43040	48180	Buddha for the sake of all the transmigration beings.
48180	53880	So that's about bodhicitta, isn't it, and bodhicitta is something.
53880	63000	If you can generate it, then there are really extraordinary benefits and it has this extraordinary
63000	64000	power to it.
83880	113400	The beginning of this
113400	123040	text that we're studying, the root text, Madhima Gavatara, it mentions how the, there's a verse
123040	136440	which says the mind of compassion, the non-jule mind and the mind of bodhicitta are the causes of the bodhicitta,
136440	149360	the cause of the bodhicitta, so we speak of the three compassion and non-jule mind and bodhicitta
149360	154760	indicated here or taught here being the cause of bodhicitta.
154760	164880	So this is something we've studied before and it's also something to keep in mind.
165340	183880	So we start listening to it and we start ascending inımıze
183880	189860	It starts ascending
189860	207780	If we are able to generate that mind, the mind of bodhicitta in our continuum, depending
207780	216300	upon those causes, then gradually we will be able to progress along the path gradually
216300	222740	achieving the bodhisattva grounds, progressing up through the bodhisattva grounds, and we will
222740	224740	be able to achieve enlightenment.
247260	250300	Therefore, If a bodhisattva intends using k hari
250300	254780	through the bodhisattva�, this chart leads to the dodgy imbalance
254780	259780	of k hari in the non- discoverable way
259780	261560	and is the shin, fong and spinning so many授物, and the
261680	266060	acceptance of the pagan sages will
266060	266100	occur through the miscarriage and forming of petites.
266120	269780	That process is merely a copy of the bowl
269780	272820	of premon车, thoughts, and Sikhs, which are
272820	285740	Yes. And once we achieve Buddhahood, then we will teach Dharma and through our teaching
285740	294940	of the Dharma, people will become here and sort here as a Arya. So this is also something
294940	300500	that came up at the beginning of the text. There's the verse which mentions that the
300500	306980	here is, which refers to the here are Aryas, and the middleing Buddhas, which refers to
306980	316620	the sort of realization are Aryas, that these come from the Buddhas, from the Buddhas, from
316620	318540	the Buddha teaching the Dharma.
331020	332740	There are threeyasбha and the other isahare.
332740	338140	Some procedure in this ceremony says that a monk is there and the other isahare
338140	340220	so it is one with the matriety Administration.
340220	349980	Another procedure in another way is when a monk detector is Academic, then the monk inczes
349980	351780	the matriety Administration.
351780	357740	Or is this just the right evaluation for practicing, perhaps partying
357740	367460	These are things we need to think well about.
367460	375100	We need to ask ourselves where here is the solitary realises come from.
375100	380380	And we need to know the way they come from is from the Buddha teaching the Dharma.
380380	387420	So they come into being, depending upon the Buddha teaching the Dharma, where is the
387420	392980	Buddha come from, the Buddha come from bodhicitta, where is bodhicitta come from,
392980	399500	the three Dharma's indicated here that we just mentioned.
417420	431620	So the essential point is to understand it all comes from bodhicitta, so that if you're
431620	437820	able to generate bodhicitta, so in other words, if you have bodhicitta, there are incredible
437820	438820	benefits.
438820	445180	And the ability that you have through having bodhicitta is really extraordinary.
445180	472420	When we need to think about these things and understand that where here are areas come from,
472420	478420	where soldier realises areas come from, and where bodhisattva areas come from, where they
478420	482420	all come from is bodhicitta.
502420	514100	And if we're able to think even more deeply about this, then we can conclude that in fact
514100	522340	every experience of happiness of all sentient beings, whoever they are, whatever that happiness
522340	532340	might be, it all comes from bodhicitta.
532340	547340	If you have bodhicitta or bodhicitta or bodhicitta or bodhicitta or bodhicitta or bodhicitta or bodhicitta,
547340	566340	then you have bodhicitta or bodhicitta or bodhicitta or bodhicitta.
566340	588860	Any happiness that we experience, any pleasure we experience is the result of virtue.
588860	598740	And in order for us to accumulate virtue, there has to be a virtuous mind.
598740	608860	So what this means then is that any virtuous mind, if you trace it back to its true source,
608860	617860	the source is bodhicitta.
617860	632860	And if you trace it back to its true source, then you have bodhicitta or bodhicitta or bodhicitta or bodhicitta,
632860	647860	then you have bodhicitta or bodhicitta or bodhicitta or bodhicitta or bodhicitta,
648860	662860	So what this means then is that it's depending upon bodhicitta that the Buddhas come into being
662860	674860	and depending upon Buddhas, all our happiness, all sentient beings' happiness comes about.
674860	692860	So what this means is that you have bodhicitta or bodhicitta or bodhicitta or bodhicitta or bodhicitta or bodhicitta,
692860	721860	so how this works is that any happiness, the cause of any happiness is virtue.
721860	733360	you and virtue is the activity or the enlightened activity or we could say
733360	740860	blessing of the Buddhas because the Buddha has two types of enlightened
740860	746260	activity there is the enlightened activity in the continuum of the of the
746260	753760	Buddha himself and then there's also the the enlightened activities which are in
753760	760760	the the continuum of the sentient being so our virtue is the enlightened activity
760760	766060	of the Buddhas and as I say we could we could we could speak it to describe
766060	769260	this the blessing of the Buddha.
776260	805760	So if you think about it then you understand that you can see that any
805760	811760	happiness we experience comes from virtue or our virtue comes from the Buddha.
811760	818260	The Buddha comes from bodhicitta, bodhicitta comes from compassion and compassion
818260	822260	comes about depending upon the sentient beings.
836260	859260	So when you think in that way then it's it's you see that actually the sentient beings are just
859260	865760	they're crucial for us because they you look at it in this way then you see
865760	873760	that actually all of the sentient beings are the cause or source of all of our
873760	875760	happiness and enjoyment.
889260	918760	In this way you see how deeply we can we can you know directly go into this
918760	925260	these words that we recited further sake of all sentient beings in other words
925260	932760	in order to benefit to be of benefit to all the transmigration beings sentient beings
932760	938760	not to harm them we don't want to harm them in order to be able to be of benefit
938760	946760	to them and so when we when you think about it then that comes the the feeling
946760	954760	you get as you recite that comes from seeing just how vital the sentient beings are
954760	956760	and how kind they are.
977360	989760	If a sentient beings are His disciples and the sentient beings are sent by the sentient beings
989760	996260	you see that sentient beings are, I NCT wrong existence, galaxy is of birth
996260	998460	but our feeding purification is of birth.
998460	1005260	So as sentient beings are helpful then we can give them the information
1005260	1016860	In the same way really when you think about it then generating bodhicitta is something
1016860	1021500	you do in order to be of benefit to sentient beings.
1021500	1024980	So it's like you want to be of benefit to sentient beings.
1024980	1034140	So you generate bodhicitta which is the determination to achieve enlightenment for their sakes.
